Protein,Initial_RMSD_loss,Initial_Steric_loss,Initial_Angle_Dev_loss,Final_RMSD_loss,Final_Steric_loss,Final_Angle_Dev_loss
Tca01g01187.t1,0.164,4.297,0,0.141,0.049,0.004
Tca01g01188.t1,0.161,1.696,0,0.126,0.042,0.007
Tca01g01189.t1,0.201,1.127,0,0.149,0.002,0.005
Tca01g01190.t1,0.206,7.869,0,0.171,0.154,0.004
Tca01g01191.t1,0.164,12.373,0,0.143,0.032,0.003
Tca01g01193.t1,0.154,8.984,0,0.134,0.061,0.002
Tca01g01194.t1,0.157,0.484,0,0.117,0.004,0.005
Tca01g01195.t1,0.204,11.055,0,0.169,0.015,0.002
Tca01g01196.t1,0.161,4.276,0,0.137,0.303,0.003
Tca01g01197.t1,0.184,2.285,0,0.136,0.316,0.007
Tca01g01198.t1,0.166,27.218,0,0.151,0.022,0.002
Tca01g01643.t1,0.129,0.024,0,0.089,0,0.003
Tca01g01644.t1,0.131,3.744,0,0.106,0.027,0.001
Tca01g01645.t1,0.208,6.314,0,0.171,0.067,0.004
Tca01g01645.t2,0.21,11.787,0,0.18,0.086,0.006
Tca01g01646.t1,0.193,0.088,0,0.13,0.004,0.01
Tca01g01647.t1,0.193,5.799,0,0.169,0.158,0.005
Tca01g00280.t1,0.155,11.232,0,0.133,0.031,0.002
Tca01g00281.t1,0.254,2.786,0,0.173,0.117,0.012
Tca01g00282.t1,0.157,4.361,0,0.125,0.005,0.002
Tca01g00283.t1,0.166,0.992,0,0.121,0.001,0.004
Tca01g00284.t1,0.187,34.074,0,0.171,0.203,0.005
Tca01g00285.t1,0.189,2.968,0,0.155,0.05,0.01
Tca01g00287.t1,0.383,238.437,0,0.372,11.598,0.011
Tca01g00288.t1,0.148,6.711,0,0.129,0.14,0.003
Tca01g00289.t1,0.18,2.301,0,0.148,0.004,0.003
Tca01g00290.t1,0.148,7.247,0,0.128,0.207,0.002
Tca01g00291.t1,0.202,35.535,0,0.167,4.128,0.006
Tca01g00292.t1,0.147,5.945,0,0.127,0.09,0.002
Tca01g00293.t1,0.235,0.928,0,0.163,0.002,0.01
Tca01g00817.t1,0.27,4.015,0,0.207,0.002,0.007
Tca01g00818.t1,0.21,3.827,0,0.154,0.007,0.006
Tca01g00819.t1,0.165,6.269,0,0.14,0.012,0.002
Tca01g00820.t1,0.252,4.293,0,0.194,0.014,0.008
Tca01g00821.t1,0.261,5.581,0,0.184,0.008,0.009
Tca01g00822.t1,0.262,5.827,0,0.197,0.014,0.007
Tca01g00824.t1,0.136,0.933,0,0.106,0.01,0.003
Tca01g00825.t1,0.206,7.484,0,0.16,0.022,0.007
Tca01g00826.t1,0.215,5.799,0,0.16,0.009,0.006
Tca01g00827.t1,0.276,14.441,0,0.217,0.225,0.008
Tca01g00828.t1,0.184,1.098,0,0.154,0.018,0.007
Tca01g00829.t1,0.237,4.502,0,0.183,0.119,0.006
Tca01g00830.t1,0.145,2.929,0,0.131,0.01,0.006
Tca01g01649.t1,0.262,2.204,0,0.185,0.003,0.016
Tca01g01650.t1,0.171,2.462,0,0.135,0.153,0.002
Tca01g01651.t1,0.148,3.723,0,0.125,0.116,0.002
Tca01g01652.t1,0.152,4.142,0,0.131,0.072,0.003
Tca01g01653.t1,0.231,4.237,0,0.17,0.002,0.01
Tca01g01654.t1,0.149,1.693,0,0.112,0.002,0.003
Tca01g01655.t1,0.159,7.048,0,0.136,0.071,0.002
Tca01g01656.t1,0.208,9.139,0,0.187,0.088,0.003
Tca01g01657.t1,0.247,2.565,0,0.162,0.004,0.01
Tca01g01658.t1,0.167,4.662,0,0.134,0.175,0.002
Tca01g01659.t1,0.161,5.46,0,0.128,0.49,0.002
Tca01g01660.t1,0.158,2.011,0,0.119,0.002,0.004
Tca01g01661.t1,0.161,1.432,0,0.121,0.005,0.006
Tca01g01663.t1,0.164,0.535,0,0.122,0.001,0.006
Tca01g01664.t1,0.13,0.834,0,0.1,0.001,0.003
Tca01g01664.t2,0.13,0.806,0,0.099,0.001,0.003
Tca01g01664.t3,0.13,0.814,0,0.1,0.001,0.003
Tca01g01665.t1,0.143,1.595,0,0.11,0.001,0.002
Tca01g01666.t1,0.134,0.071,0,0.095,0.014,0.005
Tca01g00649.t1,0.142,3.698,0,0.119,0.002,0.003
Tca01g00662.t1,0.206,10.714,0,0.164,0.145,0.003
Tca01g00684.t1,0.143,2.896,0,0.114,0.004,0.002
Tca01g00697.t1,0.18,2.865,0,0.142,0.009,0.003
Tca01g00710.t1,0.203,13.098,0,0.197,0.064,0.01
Tca01g00724.t1,0.146,6.191,0,0.121,0.019,0.002
Tca01g00737.t1,0.273,6.317,0,0.206,0.289,0.004
Tca01g00759.t1,0.228,8.661,0,0.18,0.039,0.01
Tca01g01907.t2,0.129,2.557,0,0.107,0.155,0.002
Tca01g01908.t1,0.161,12.388,0,0.135,0.043,0.002
Tca01g01909.t1,0.185,3.478,0,0.139,0.004,0.005
Tca01g01910.t1,0.211,1.084,0,0.149,0.029,0.006
Tca01g01911.t1,0.217,6.041,0,0.184,0.16,0.008
Tca01g01912.t1,0.185,4.296,0,0.153,0.249,0.005
Tca01g01914.t1,0.155,4.705,0,0.123,0.041,0.002
Tca01g01915.t1,0.163,36.584,0,0.148,0.197,0.003
Tca01g01916.t1,0.15,263.644,0,0.219,28.339,0.018
Tca01g01917.t1,0.221,51.899,0,0.199,0.087,0.01
Tca01g01918.t1,0.162,44.916,0,0.146,0.474,0.003
Tca01g01919.t1,0.162,18.1,0,0.142,0.455,0.003
Tca01g00466.t1,0.176,3.278,0,0.14,0.002,0.003
Tca01g00466.t2,0.176,3.01,0,0.14,0.001,0.002
Tca01g00467.t1,0.2,2.832,0,0.154,0.003,0.005
Tca01g00468.t1,0.142,4.626,0,0.11,0.002,0.002
Tca01g00469.t1,0.254,11.377,0,0.202,0.66,0.005
Tca01g00469.t2,0.245,9.81,0,0.193,0.314,0.004
Tca01g00471.t1,0.149,2.42,0,0.122,0.028,0.003
Tca01g00472.t1,0.162,9.933,0,0.138,0.29,0.002
Tca01g00473.t1,0.167,1.473,0,0.129,0.001,0.003
Tca01g00474.t1,0.176,3.615,0,0.14,0.02,0.005
Tca01g00475.t2,0.15,5.98,0,0.125,0.098,0.001
Tca01g00476.t1,0.151,6.624,0,0.127,0.464,0.002
Tca01g00477.t1,0.181,2.738,0,0.135,0.001,0.003
Tca01g00477.t2,0.179,2.618,0,0.133,0.001,0.004
Tca01g00478.t1,0.199,2.465,0,0.154,0.019,0.006
Tca01g00479.t1,0.188,3.697,0,0.153,0.026,0.008
Tca01g00480.t1,0.196,25.978,0,0.187,0.205,0.008
Tca01g00481.t1,0.147,6.097,0,0.13,0.008,0.002
Tca01g00294.t1,0.142,1.195,0,0.11,0.007,0.007
Tca01g00295.t1,0.176,1.095,0,0.117,0.001,0.009
Tca01g00296.t1,0.145,6.679,0,0.121,0.038,0.001
Tca01g00297.t1,0.172,10.836,0,0.146,0.308,0.003
Tca01g00298.t1,0.14,4.729,0,0.116,0.001,0.001
Tca01g00299.t1,0.185,1.559,0,0.142,0.009,0.006
Tca01g00301.t1,0.141,2.653,0,0.111,0.005,0.002
Tca01g00302.t1,0.16,7.405,0,0.132,0.437,0.003
Tca01g00303.t1,0.145,1.624,0,0.111,0.053,0.002
Tca01g00304.t1,0.152,0.93,0,0.113,0.005,0.004
Tca01g00305.t1,0.141,1.13,0,0.109,0.037,0.002
Tca01g00306.t1,0.143,1.264,0,0.112,0.04,0.002
Tca01g01507.t1,0.185,3.609,0,0.134,0.001,0.008
Tca01g01508.t1,0.157,15.913,0,0.143,0.231,0.003
Tca01g01509.t1,0.139,1.093,0,0.104,0.001,0.002
Tca01g01510.t1,0.157,1.737,0,0.123,0.131,0.003
Tca01g01511.t1,0.158,0.908,0,0.118,0.014,0.003
Tca01g01512.t1,0.149,11.465,0,0.122,0.192,0.002
Tca01g01514.t1,0.149,4.104,0,0.121,0.022,0.004
Tca01g01515.t1,0.141,6.091,0,0.119,0.082,0.002
Tca01g01516.t1,0.366,44.933,0,0.283,2.429,0.01
Tca01g01517.t1,0.141,3.631,0,0.112,0.003,0.003
Tca01g01518.t1,0.178,1.796,0,0.14,0.036,0.004
Tca01g01518.t2,0.176,4.458,0,0.153,0.008,0.004
Tca01g00901.t1,0.149,2.378,0,0.117,0.01,0.002
Tca01g00902.t1,0.158,2.397,0,0.134,0.011,0.004
Tca01g00903.t1,0.162,2.465,0,0.127,0.024,0.004
Tca01g00903.t2,0.174,3.224,0,0.14,0.002,0.003
Tca01g00904.t1,0.149,0.979,0,0.119,0.004,0.003
Tca01g00905.t1,0.16,5.08,0,0.123,0.152,0.004
Tca01g00907.t1,0.18,6.292,0,0.199,0.471,0.008
Tca01g00908.t1,0.192,7.683,0,0.177,1.088,0.01
Tca01g00909.t1,0.231,4.319,0,0.184,0.046,0.014
Tca01g00910.t1,0.232,3.713,0,0.179,0.049,0.013
Tca01g00911.t1,0.14,3.302,0,0.124,0.112,0.003
Tca01g00911.t2,0.141,3.491,0,0.125,0.109,0.003
Tca01g00912.t1,0.159,1.86,0,0.135,0.005,0.004
Tca01g01920.t1,0.155,15.489,0,0.136,1.374,0.002
Tca01g01921.t1,0.176,24.817,0,0.158,0.577,0.003
Tca01g01922.t1,0.14,3.012,0,0.114,0.003,0.004
Tca01g01923.t1,0.137,3.149,0,0.106,0.001,0.002
Tca01g01924.t1,0.143,2.596,0,0.114,0.001,0.002
Tca01g01925.t1,0.152,11.085,0,0.129,0.027,0.002
Tca01g01926.t1,0.205,1.28,0,0.138,0.002,0.01
Tca01g01928.t1,0.146,6.284,0,0.121,0.003,0.004
Tca01g01929.t1,0.182,11.802,0,0.149,0.105,0.002
Tca01g01930.t1,0.168,2.219,0,0.134,0.013,0.003
Tca01g01931.t1,0.238,8.065,0,0.188,0.009,0.006
Tca01g01932.t1,0.153,6.913,0,0.131,0.15,0.003
Tca01g01933.t1,0.296,14.81,0,0.224,0.29,0.007
Tca01g01934.t1,0.134,2.262,0,0.105,0.001,0.002
Tca01g01935.t1,0.187,0.45,0,0.127,0.001,0.01
Tca01g01936.t1,0.252,10.944,0,0.235,0.032,0.022
Tca01g01937.t1,0.191,0.157,0,0.139,0,0.009
Tca01g01938.t1,0.173,6.239,0,0.148,0.014,0.005
Tca01g01939.t1,0.146,4.53,0,0.116,0.013,0.002
Tca01g01941.t1,0.145,3.016,0,0.116,0.003,0.002
Tca01g01942.t1,0.14,6.527,0,0.113,0.04,0.002
Tca01g01943.t1,0.15,2.445,0,0.119,0.001,0.003
Tca01g01944.t1,0.216,2.978,0,0.16,0.13,0.006
Tca01g01945.t1,0.151,3.334,0,0.127,0.088,0.002
Tca01g01946.t1,0.163,2.214,0,0.133,0.008,0.007
Tca01g02128.t1,0.135,2.871,0,0.108,0.038,0.002
Tca01g02129.t1,0.132,3.113,0,0.104,0.046,0.002
Tca01g02130.t1,0.134,3.518,0,0.108,0.064,0.002
Tca01g02131.t1,0.133,4.231,0,0.107,0.079,0.002
Tca01g02132.t1,0.132,3.367,0,0.107,0.073,0.002
Tca01g02133.t1,0.132,3.39,0,0.106,0.042,0.003
Tca01g00307.t1,0.143,1.287,0,0.112,0.043,0.002
Tca01g00308.t1,0.143,2.823,0,0.114,0.031,0.002
Tca01g00309.t1,0.137,1.227,0,0.106,0.042,0.002
Tca01g00310.t1,0.188,4.67,0,0.154,0.112,0.005
Tca01g00311.t1,0.205,5.41,0,0.162,0.018,0.003
Tca01g00312.t1,0.194,14.436,0,0.169,0.028,0.002
Tca01g00313.t1,0.221,1.831,0,0.155,0.002,0.01
Tca01g00315.t1,0.13,0.439,0,0.095,0.001,0.004
Tca01g00316.t1,0.143,0.415,0,0.101,0,0.005
Tca01g00317.t1,0.221,2.487,0,0.17,0.003,0.009
Tca01g00318.t1,0.115,1.131,0,0.094,0.001,0.003
Tca01g00319.t1,0.168,1.6,0,0.115,0.065,0.006
Tca01g00320.t1,0.226,1.075,0,0.161,0.001,0.008
Tca01g00321.t1,0.217,3.059,0,0.165,0.01,0.012
Tca01g00322.t1,0.189,8.133,0,0.141,0.013,0.007
Tca01g00323.t1,0.242,1.138,0,0.165,0.013,0.012
Tca01g00324.t1,0.14,0.344,0,0.103,0.002,0.005
Tca01g00325.t1,0.16,0.987,0,0.121,0.039,0.005
Tca01g00326.t1,0.142,0.209,0,0.1,0.002,0.004
Tca01g00327.t1,0.12,1.236,0,0.097,0.001,0.003
Tca01g00414.t1,0.189,0.846,0,0.139,0.039,0.007
Tca01g00415.t1,0.15,6.104,0,0.121,0.025,0.002
Tca01g00415.t2,0.15,6.118,0,0.121,0.01,0.002
Tca01g00416.t1,0.246,1.038,0,0.16,0,0.01
Tca01g00417.t1,0.168,2.542,0,0.123,0.026,0.004
Tca01g00418.t1,0.166,2.391,0,0.127,0.023,0.004
Tca01g01761.t1,0.149,6.513,0,0.127,0.06,0.002
Tca01g01762.t1,0.146,4.306,0,0.118,0.015,0.002
Tca01g01763.t1,0.154,7.219,0,0.129,0.06,0.003
Tca01g01764.t1,0.154,6.91,0,0.131,0.064,0.002
Tca01g01765.t1,0.167,7.52,0,0.143,0.066,0.003
Tca01g01766.t1,0.161,7.218,0,0.144,0.07,0.003
Tca01g01525.t1,0.193,2.395,0,0.136,0.002,0.009
Tca01g01537.t1,0.217,0.37,0,0.136,0.002,0.007
Tca01g01553.t1,0.145,0.412,0,0.114,0.003,0.003
Tca01g01565.t1,0.188,3.649,0,0.153,0.013,0.004
Tca01g01577.t1,0.176,0.626,0,0.124,0.008,0.005
Tca01g01588.t1,0.246,5.504,0,0.172,0.018,0.009
Tca01g01602.t1,0.139,1.489,0,0.111,0.098,0.002
Tca01g01614.t1,0.155,10.867,0,0.116,0.013,0.002
Tca01g01626.t4,0.159,26.77,0,0.161,0.01,0.008
Tca01g01768.t1,0.225,0.255,0,0.152,0.001,0.009
Tca01g01769.t1,0.15,4.093,0,0.118,0.03,0.002
Tca01g01769.t2,0.157,4.11,0,0.123,0.001,0.003
Tca01g01769.t3,0.145,3.626,0,0.111,0.001,0.002
Tca01g01770.t1,0.194,13.427,0,0.168,0.267,0.003
Tca01g01771.t1,0.182,7.785,0,0.155,0.075,0.003
Tca01g01772.t1,0.262,28.733,0,0.209,0.045,0.005
Tca01g01773.t1,0.126,3.789,0,0.102,0.033,0.002
Tca01g01774.t1,0.151,11.102,0,0.133,0.184,0.002
Tca01g01774.t2,0.154,9.658,0,0.136,0.013,0.003
Tca01g01775.t1,0.144,0.762,0,0.106,0.002,0.003
Tca01g01776.t1,0.154,4.615,0,0.12,0.001,0.002
Tca01g01777.t1,0.175,25.701,0,0.166,0.725,0.004
Tca01g00753.t1,0.252,12.285,0,0.19,0.349,0.006
Tca01g00754.t1,0.245,12.789,0,0.185,0.487,0.005
Tca01g00755.t1,0.212,5.39,0,0.152,0.012,0.006
Tca01g00756.t1,0.202,1.149,0,0.165,0.128,0.008
Tca01g00757.t1,0.148,3.782,0,0.13,0.109,0.002
Tca01g00758.t1,0.171,9.34,0,0.149,0.102,0.003
Tca01g00760.t1,0.158,5.049,0,0.127,0.1,0.002
Tca01g00761.t1,0.195,6.079,0,0.163,0.027,0.003
Tca01g00762.t1,0.175,4.441,0,0.14,0.111,0.003
Tca01g00763.t1,0.208,1.009,0,0.148,0.003,0.008
Tca01g00764.t1,0.13,0.558,0,0.097,0.002,0.002
Tca01g00765.t1,0.145,0.777,0,0.113,0.022,0.004
Tca01g01318.t1,0.167,0.355,0,0.114,0.001,0.006
Tca01g01319.t1,0.241,3.658,0,0.179,0.141,0.01
Tca01g01320.t1,0.281,10.958,0,0.214,1.368,0.006
Tca01g01321.t1,0.142,10.448,0,0.121,0.624,0.003
Tca01g01322.t1,0.178,27.568,0,0.155,0.811,0.004
Tca01g01323.t1,0.431,194.604,0,0.39,9.723,0.014
Tca01g01325.t1,0.136,2.568,0,0.109,0.08,0.001
Tca01g01326.t1,0.27,21.169,0,0.208,0.52,0.005
Tca01g01327.t1,0.244,3.179,0,0.178,0.031,0.008
Tca01g01328.t1,0.183,6.874,0,0.163,0.515,0.004
Tca01g01329.t1,0.314,10.025,0,0.232,0.531,0.009
Tca01g01330.t1,0.177,1.036,0,0.125,0.008,0.006
Tca01g01331.t1,0.154,9.929,0,0.132,0.056,0.002
Tca01g01332.t1,0.185,3.088,0,0.141,0.001,0.007
Tca01g01333.t1,0.165,9.338,0,0.132,0.007,0.002
Tca01g01334.t1,0.15,8.808,0,0.129,0.142,0.002
Tca01g01335.t1,0.156,7.15,0,0.134,0.076,0.002
Tca01g01336.t1,0.155,4.988,0,0.132,0.036,0.002
Tca01g01337.t1,0.158,3.266,0,0.134,0.014,0.005
Tca01g01338.t2,0.422,49.268,0,0.326,1.999,0.013
Tca01g01339.t1,0.205,3.48,0,0.153,0.007,0.006
Tca01g01340.t1,0.167,16.781,0,0.142,0.062,0.002
Tca01g01341.t1,0.233,5.226,0,0.174,0.038,0.005
Tca01g01342.t1,0.158,7.372,0,0.138,0.233,0.005
Tca01g01343.t1,0.266,10.141,0,0.208,0.263,0.006
Tca01g00913.t1,0.156,2.144,0,0.121,0.002,0.004
Tca01g00914.t1,0.21,4.45,0,0.162,0.001,0.003
Tca01g00915.t1,0.178,1.628,0,0.13,0.017,0.007
Tca01g00915.t2,0.174,0.837,0,0.134,0.002,0.004
Tca01g00916.t1,0.159,4.897,0,0.129,0.079,0.001
Tca01g00916.t2,0.159,12.708,0,0.131,0.142,0.002
Tca01g00916.t4,0.163,9.717,0,0.133,0.069,0.002
Tca01g00917.t1,0.169,30.528,0,0.148,0.524,0.002
Tca01g00918.t1,0.142,5.652,0,0.126,0.005,0.004
Tca01g00919.t1,0.218,2.256,0,0.164,0.111,0.003
Tca01g00919.t2,0.218,2.097,0,0.162,0.081,0.004
Tca01g00919.t3,0.22,2.276,0,0.164,0.086,0.004
Tca01g00920.t1,0.185,3.765,0,0.148,0.099,0.002
Tca01g00921.t1,0.144,3.668,0,0.12,0.011,0.002
Tca01g00922.t1,0.221,5.871,0,0.176,0.188,0.006
Tca01g00923.t1,0.181,2.028,0,0.148,0.006,0.008
Tca01g00924.t1,0.235,6.583,0,0.187,0.731,0.004
Tca01g00925.t1,0.19,42.512,0,0.182,7.893,0.006
Tca01g00927.t1,0.14,0.641,0,0.11,0.001,0.004
Tca01g00928.t1,0.258,7.507,0,0.197,0.291,0.004
Tca01g00929.t1,0.24,5.119,0,0.181,0.173,0.005
Tca01g00930.t1,0.151,2.767,0,0.131,0.255,0.002
Tca01g00931.t1,0.272,16.78,0,0.221,0.466,0.006
Tca01g00931.t2,0.28,19.527,0,0.215,0.847,0.006
Tca01g01024.t1,0.223,1.495,0,0.159,0.057,0.007
Tca01g01025.t1,0.167,12.356,0,0.14,0.006,0.005
Tca01g01026.t1,0.256,4.246,0,0.185,0.015,0.01
Tca01g01027.t1,0.159,2.351,0,0.128,0.038,0.004
Tca01g01028.t1,0.148,1.692,0,0.119,0.004,0.002
Tca01g01029.t1,0.232,1.027,0,0.186,0.067,0.009
Tca01g01031.t1,0.259,4.487,0,0.194,0.125,0.007
Tca01g01032.t1,0.156,8.55,0,0.134,0.026,0.002
Tca01g01033.t1,0.286,2.046,0,0.181,0.001,0.016
Tca01g01034.t1,0.25,2.846,0,0.184,0.002,0.008
Tca01g01035.t1,0.201,1.385,0,0.148,0.159,0.008
Tca01g01036.t1,0.149,5.302,0,0.121,0.014,0.001
Tca01g00987.t1,0.167,7.95,0,0.138,0.079,0.002
Tca01g00987.t2,0.167,7.462,0,0.139,0.073,0.002
Tca01g00987.t3,0.168,7.412,0,0.139,0.086,0.001
Tca01g00988.t1,0.157,5.563,0,0.138,0.114,0.005
Tca01g00989.t1,0.162,10.141,0,0.136,0.104,0.002
Tca01g00989.t2,0.162,10.164,0,0.135,0.053,0.002
Tca01g01042.t1,0.154,1.048,0,0.112,0.029,0.006
Tca01g01054.t1,0.173,5.104,0,0.132,0.007,0.003
Tca01g01066.t1,0.169,1.253,0,0.122,0.021,0.007
Tca01g01083.t1,0.201,2.795,0,0.152,0.001,0.005
Tca01g01103.t1,0.177,4.84,0,0.15,0.209,0.005
Tca01g01116.t1,0.195,1.76,0,0.157,0.009,0.006
Tca01g01129.t1,0.225,84.263,0,0.216,6.842,0.004
Tca01g01098.t1,0.353,2.965,0,0.177,0.002,0.012
Tca01g01098.t2,0.347,7.988,0,0.197,0.194,0.01
Tca01g01099.t1,0.166,3.41,0,0.143,0.321,0.004
Tca01g01100.t1,0.134,1.866,0,0.096,0.006,0.003
Tca01g01101.t1,0.152,5.699,0,0.123,0.093,0.002
Tca01g01102.t1,0.19,1.838,0,0.148,0.099,0.007
Tca01g00126.t1,0.163,2.589,0,0.124,0.079,0.003
Tca01g00127.t1,0.176,12.636,0,0.144,0.447,0.005
Tca01g00128.t1,0.136,2.021,0,0.108,0.003,0.002
Tca01g00129.t1,0.148,0.804,0,0.111,0,0.002
Tca01g00130.t1,0.165,4.27,0,0.132,0.147,0.002
