Protein,Delta_RMSD_loss,Delta_Steric_loss,Delta_Angle_Dev_loss
Tca01g01193.t1,-0.02,-8.923,0.002
Tca01g01194.t1,-0.04,-0.48,0.005
Tca01g01195.t1,-0.035,-11.04,0.002
Tca01g01196.t1,-0.024,-3.973,0.003
Tca01g01197.t1,-0.048,-1.969,0.007
Tca01g01198.t1,-0.015,-27.196,0.002
Tca01g01643.t1,-0.04,-0.024,0.003
Tca01g01644.t1,-0.025,-3.717,0.001
Tca01g01645.t1,-0.037,-6.247,0.004
Tca01g01645.t2,-0.03,-11.701,0.006
Tca01g01646.t1,-0.063,-0.084,0.01
Tca01g01647.t1,-0.024,-5.641,0.005
Tca01g00280.t1,-0.022,-11.201,0.002
Tca01g00281.t1,-0.081,-2.669,0.012
Tca01g00282.t1,-0.032,-4.356,0.002
Tca01g00283.t1,-0.045,-0.991,0.004
Tca01g00284.t1,-0.016,-33.871,0.005
Tca01g00285.t1,-0.034,-2.918,0.01
Tca01g00287.t1,-0.011,-226.839,0.011
Tca01g00288.t1,-0.019,-6.571,0.003
Tca01g00289.t1,-0.032,-2.297,0.003
Tca01g00290.t1,-0.02,-7.04,0.002
Tca01g00291.t1,-0.035,-31.407,0.006
Tca01g00292.t1,-0.02,-5.855,0.002
Tca01g00293.t1,-0.072,-0.926,0.01
Tca01g00817.t1,-0.063,-4.013,0.007
Tca01g00818.t1,-0.056,-3.82,0.006
Tca01g00819.t1,-0.025,-6.257,0.002
Tca01g00820.t1,-0.058,-4.279,0.008
Tca01g00821.t1,-0.077,-5.573,0.009
Tca01g00822.t1,-0.065,-5.813,0.007
Tca01g00824.t1,-0.03,-0.923,0.003
Tca01g00825.t1,-0.046,-7.462,0.007
Tca01g00826.t1,-0.055,-5.79,0.006
Tca01g00827.t1,-0.059,-14.216,0.008
Tca01g00828.t1,-0.03,-1.08,0.007
Tca01g00829.t1,-0.054,-4.383,0.006
Tca01g00830.t1,-0.014,-2.919,0.006
Tca01g01649.t1,-0.077,-2.201,0.016
Tca01g01650.t1,-0.036,-2.309,0.002
Tca01g01651.t1,-0.023,-3.607,0.002
Tca01g01652.t1,-0.021,-4.07,0.003
Tca01g01653.t1,-0.061,-4.235,0.01
Tca01g01654.t1,-0.037,-1.691,0.003
Tca01g01655.t1,-0.023,-6.977,0.002
Tca01g01656.t1,-0.021,-9.051,0.003
Tca01g01657.t1,-0.085,-2.561,0.01
Tca01g01658.t1,-0.033,-4.487,0.002
Tca01g01659.t1,-0.033,-4.97,0.002
Tca01g01660.t1,-0.039,-2.009,0.004
Tca01g01661.t1,-0.04,-1.427,0.006
Tca01g01663.t1,-0.042,-0.534,0.006
Tca01g01664.t1,-0.03,-0.833,0.003
Tca01g01664.t2,-0.031,-0.805,0.003
Tca01g01664.t3,-0.03,-0.813,0.003
Tca01g01665.t1,-0.033,-1.594,0.002
Tca01g01666.t1,-0.039,-0.057,0.005
Tca01g00649.t1,-0.023,-3.696,0.003
Tca01g00662.t1,-0.042,-10.569,0.003
Tca01g00684.t1,-0.029,-2.892,0.002
Tca01g00697.t1,-0.038,-2.856,0.003
Tca01g00710.t1,-0.006,-13.034,0.01
Tca01g00724.t1,-0.025,-6.172,0.002
Tca01g00737.t1,-0.067,-6.028,0.004
Tca01g00759.t1,-0.048,-8.622,0.01
Tca01g01907.t2,-0.022,-2.402,0.002
Tca01g01908.t1,-0.026,-12.345,0.002
Tca01g01909.t1,-0.046,-3.474,0.005
Tca01g01910.t1,-0.062,-1.055,0.006
Tca01g01911.t1,-0.033,-5.881,0.008
Tca01g01912.t1,-0.032,-4.047,0.005
Tca01g01914.t1,-0.032,-4.664,0.002
Tca01g01915.t1,-0.015,-36.387,0.003
Tca01g01916.t1,0.069,-235.305,0.018
Tca01g01917.t1,-0.022,-51.812,0.01
Tca01g01918.t1,-0.016,-44.442,0.003
Tca01g01919.t1,-0.02,-17.645,0.003
Tca01g00466.t1,-0.036,-3.276,0.003
Tca01g00466.t2,-0.036,-3.009,0.002
Tca01g00467.t1,-0.046,-2.829,0.005
Tca01g00468.t1,-0.032,-4.624,0.002
Tca01g00469.t1,-0.052,-10.717,0.005
Tca01g00469.t2,-0.052,-9.496,0.004
Tca01g00471.t1,-0.027,-2.392,0.003
Tca01g00472.t1,-0.024,-9.643,0.002
Tca01g00473.t1,-0.038,-1.472,0.003
Tca01g00474.t1,-0.036,-3.595,0.005
Tca01g00475.t2,-0.025,-5.882,0.001
Tca01g00476.t1,-0.024,-6.16,0.002
Tca01g00477.t1,-0.046,-2.737,0.003
Tca01g00477.t2,-0.046,-2.617,0.004
Tca01g00478.t1,-0.045,-2.446,0.006
Tca01g00479.t1,-0.035,-3.671,0.008
Tca01g00480.t1,-0.009,-25.773,0.008
Tca01g00481.t1,-0.017,-6.089,0.002
Tca01g00294.t1,-0.032,-1.188,0.007
Tca01g00295.t1,-0.059,-1.094,0.009
Tca01g00296.t1,-0.024,-6.641,0.001
Tca01g00297.t1,-0.026,-10.528,0.003
Tca01g00298.t1,-0.024,-4.728,0.001
Tca01g00299.t1,-0.043,-1.55,0.006
Tca01g00301.t1,-0.03,-2.648,0.002
Tca01g00302.t1,-0.028,-6.968,0.003
Tca01g00303.t1,-0.034,-1.571,0.002
Tca01g00304.t1,-0.039,-0.925,0.004
Tca01g00305.t1,-0.032,-1.093,0.002
Tca01g00306.t1,-0.031,-1.224,0.002
Tca01g01507.t1,-0.051,-3.608,0.008
Tca01g01508.t1,-0.014,-15.682,0.003
Tca01g01509.t1,-0.035,-1.092,0.002
Tca01g01510.t1,-0.034,-1.606,0.003
Tca01g01511.t1,-0.04,-0.894,0.003
Tca01g01512.t1,-0.027,-11.273,0.002
Tca01g01514.t1,-0.028,-4.082,0.004
Tca01g01515.t1,-0.022,-6.009,0.002
Tca01g01516.t1,-0.083,-42.504,0.01
Tca01g01517.t1,-0.029,-3.628,0.003
Tca01g01518.t1,-0.038,-1.76,0.004
Tca01g01518.t2,-0.023,-4.45,0.004
Tca01g00901.t1,-0.032,-2.368,0.002
Tca01g00902.t1,-0.024,-2.386,0.004
Tca01g00903.t1,-0.035,-2.441,0.004
Tca01g00903.t2,-0.034,-3.222,0.003
Tca01g00904.t1,-0.03,-0.975,0.003
Tca01g00905.t1,-0.037,-4.928,0.004
Tca01g00907.t1,0.019,-5.821,0.008
Tca01g00908.t1,-0.015,-6.595,0.01
Tca01g00909.t1,-0.047,-4.273,0.014
Tca01g00910.t1,-0.053,-3.664,0.013
Tca01g00911.t1,-0.016,-3.19,0.003
Tca01g00911.t2,-0.016,-3.382,0.003
Tca01g00912.t1,-0.024,-1.855,0.004
Tca01g01920.t1,-0.019,-14.115,0.002
Tca01g01921.t1,-0.018,-24.24,0.003
Tca01g01922.t1,-0.026,-3.009,0.004
Tca01g01923.t1,-0.031,-3.148,0.002
Tca01g01924.t1,-0.029,-2.595,0.002
Tca01g01925.t1,-0.023,-11.058,0.002
Tca01g01926.t1,-0.067,-1.278,0.01
Tca01g01928.t1,-0.025,-6.281,0.004
Tca01g01929.t1,-0.033,-11.697,0.002
Tca01g01930.t1,-0.034,-2.206,0.003
Tca01g01931.t1,-0.05,-8.056,0.006
Tca01g01932.t1,-0.022,-6.763,0.003
Tca01g01933.t1,-0.072,-14.52,0.007
Tca01g01934.t1,-0.029,-2.261,0.002
Tca01g01935.t1,-0.06,-0.449,0.01
Tca01g01936.t1,-0.017,-10.912,0.022
Tca01g01937.t1,-0.052,-0.157,0.009
Tca01g01938.t1,-0.025,-6.225,0.005
Tca01g01939.t1,-0.03,-4.517,0.002
Tca01g01941.t1,-0.029,-3.013,0.002
Tca01g01942.t1,-0.027,-6.487,0.002
Tca01g01943.t1,-0.031,-2.444,0.003
Tca01g01944.t1,-0.056,-2.848,0.006
Tca01g01945.t1,-0.024,-3.246,0.002
Tca01g01946.t1,-0.03,-2.206,0.007
Tca01g02128.t1,-0.027,-2.833,0.002
Tca01g02129.t1,-0.028,-3.067,0.002
Tca01g02130.t1,-0.026,-3.454,0.002
Tca01g02131.t1,-0.026,-4.152,0.002
Tca01g02132.t1,-0.025,-3.294,0.002
Tca01g02133.t1,-0.026,-3.348,0.003
Tca01g00307.t1,-0.031,-1.244,0.002
Tca01g00308.t1,-0.029,-2.792,0.002
Tca01g00309.t1,-0.031,-1.185,0.002
Tca01g00310.t1,-0.034,-4.558,0.005
Tca01g00311.t1,-0.043,-5.392,0.003
Tca01g00312.t1,-0.025,-14.408,0.002
Tca01g00313.t1,-0.066,-1.829,0.01
Tca01g00315.t1,-0.035,-0.438,0.004
Tca01g00316.t1,-0.042,-0.415,0.005
Tca01g00317.t1,-0.051,-2.484,0.009
Tca01g00318.t1,-0.021,-1.13,0.003
Tca01g00319.t1,-0.053,-1.535,0.006
Tca01g00320.t1,-0.065,-1.074,0.008
Tca01g00321.t1,-0.052,-3.049,0.012
Tca01g00322.t1,-0.048,-8.12,0.007
Tca01g00323.t1,-0.077,-1.125,0.012
Tca01g00324.t1,-0.037,-0.342,0.005
Tca01g00325.t1,-0.039,-0.948,0.005
Tca01g00326.t1,-0.042,-0.207,0.004
Tca01g00327.t1,-0.023,-1.235,0.003
Tca01g00414.t1,-0.05,-0.807,0.007
Tca01g00415.t1,-0.029,-6.079,0.002
Tca01g00415.t2,-0.029,-6.108,0.002
Tca01g00416.t1,-0.086,-1.038,0.01
Tca01g00417.t1,-0.045,-2.516,0.004
Tca01g00418.t1,-0.039,-2.368,0.004
Tca01g01761.t1,-0.022,-6.453,0.002
Tca01g01762.t1,-0.028,-4.291,0.002
Tca01g01763.t1,-0.025,-7.159,0.003
Tca01g01764.t1,-0.023,-6.846,0.002
Tca01g01765.t1,-0.024,-7.454,0.003
Tca01g01766.t1,-0.017,-7.148,0.003
Tca01g01525.t1,-0.057,-2.393,0.009
Tca01g01537.t1,-0.081,-0.368,0.007
Tca01g01553.t1,-0.031,-0.409,0.003
Tca01g01565.t1,-0.035,-3.636,0.004
Tca01g01577.t1,-0.052,-0.618,0.005
Tca01g01588.t1,-0.074,-5.486,0.009
Tca01g01602.t1,-0.028,-1.391,0.002
Tca01g01614.t1,-0.039,-10.854,0.002
Tca01g01626.t4,0.002,-26.76,0.008
Tca01g01768.t1,-0.073,-0.254,0.009
Tca01g01769.t1,-0.032,-4.063,0.002
Tca01g01769.t2,-0.034,-4.109,0.003
Tca01g01769.t3,-0.034,-3.625,0.002
Tca01g01770.t1,-0.026,-13.16,0.003
Tca01g01771.t1,-0.027,-7.71,0.003
Tca01g01772.t1,-0.053,-28.688,0.005
Tca01g01773.t1,-0.024,-3.756,0.002
Tca01g01774.t1,-0.018,-10.918,0.002
Tca01g01774.t2,-0.018,-9.645,0.003
Tca01g01775.t1,-0.038,-0.76,0.003
Tca01g01776.t1,-0.034,-4.614,0.002
Tca01g01777.t1,-0.009,-24.976,0.004
Tca01g00753.t1,-0.062,-11.936,0.006
Tca01g00754.t1,-0.06,-12.302,0.005
Tca01g00755.t1,-0.06,-5.378,0.006
Tca01g00756.t1,-0.037,-1.021,0.008
Tca01g00757.t1,-0.018,-3.673,0.002
Tca01g00758.t1,-0.022,-9.238,0.003
Tca01g00760.t1,-0.031,-4.949,0.002
Tca01g00761.t1,-0.032,-6.052,0.003
Tca01g00762.t1,-0.035,-4.33,0.003
Tca01g00763.t1,-0.06,-1.006,0.008
Tca01g00764.t1,-0.033,-0.556,0.002
Tca01g00765.t1,-0.032,-0.755,0.004
Tca01g01318.t1,-0.053,-0.354,0.006
Tca01g01319.t1,-0.062,-3.517,0.01
Tca01g01320.t1,-0.067,-9.59,0.006
Tca01g01321.t1,-0.021,-9.824,0.003
Tca01g01322.t1,-0.023,-26.757,0.004
Tca01g01323.t1,-0.041,-184.881,0.014
Tca01g01325.t1,-0.027,-2.488,0.001
Tca01g01326.t1,-0.062,-20.649,0.005
Tca01g01327.t1,-0.066,-3.148,0.008
Tca01g01328.t1,-0.02,-6.359,0.004
Tca01g01329.t1,-0.082,-9.494,0.009
Tca01g01330.t1,-0.052,-1.028,0.006
Tca01g01331.t1,-0.022,-9.873,0.002
Tca01g01332.t1,-0.044,-3.087,0.007
Tca01g01333.t1,-0.033,-9.331,0.002
Tca01g01334.t1,-0.021,-8.666,0.002
Tca01g01335.t1,-0.022,-7.074,0.002
Tca01g01336.t1,-0.023,-4.952,0.002
Tca01g01337.t1,-0.024,-3.252,0.005
Tca01g01338.t2,-0.096,-47.269,0.013
Tca01g01339.t1,-0.052,-3.473,0.006
Tca01g01340.t1,-0.025,-16.719,0.002
Tca01g01341.t1,-0.059,-5.188,0.005
Tca01g01342.t1,-0.02,-7.139,0.005
Tca01g01343.t1,-0.058,-9.878,0.006
Tca01g00913.t1,-0.035,-2.142,0.004
Tca01g00914.t1,-0.048,-4.449,0.003
Tca01g00915.t1,-0.048,-1.611,0.007
Tca01g00915.t2,-0.04,-0.835,0.004
Tca01g00916.t1,-0.03,-4.818,0.001
Tca01g00916.t2,-0.028,-12.566,0.002
Tca01g00916.t4,-0.03,-9.648,0.002
Tca01g00917.t1,-0.021,-30.004,0.002
Tca01g00918.t1,-0.016,-5.647,0.004
Tca01g00919.t1,-0.054,-2.145,0.003
Tca01g00919.t2,-0.056,-2.016,0.004
Tca01g00919.t3,-0.056,-2.19,0.004
Tca01g00920.t1,-0.037,-3.666,0.002
Tca01g00921.t1,-0.024,-3.657,0.002
Tca01g00922.t1,-0.045,-5.683,0.006
Tca01g00923.t1,-0.033,-2.022,0.008
Tca01g00924.t1,-0.048,-5.852,0.004
Tca01g00925.t1,-0.008,-34.619,0.006
Tca01g00927.t1,-0.03,-0.64,0.004
Tca01g00928.t1,-0.061,-7.216,0.004
Tca01g00929.t1,-0.059,-4.946,0.005
Tca01g00930.t1,-0.02,-2.512,0.002
Tca01g00931.t1,-0.051,-16.314,0.006
Tca01g00931.t2,-0.065,-18.68,0.006
Tca01g01024.t1,-0.064,-1.438,0.007
Tca01g01025.t1,-0.027,-12.35,0.005
Tca01g01026.t1,-0.071,-4.231,0.01
Tca01g01027.t1,-0.031,-2.313,0.004
Tca01g01028.t1,-0.029,-1.688,0.002
Tca01g01029.t1,-0.046,-0.96,0.009
Tca01g01031.t1,-0.065,-4.362,0.007
Tca01g01032.t1,-0.022,-8.524,0.002
Tca01g01033.t1,-0.105,-2.045,0.016
Tca01g01034.t1,-0.066,-2.844,0.008
Tca01g01035.t1,-0.053,-1.226,0.008
Tca01g01036.t1,-0.028,-5.288,0.001
Tca01g00987.t1,-0.029,-7.871,0.002
Tca01g00987.t2,-0.028,-7.389,0.002
Tca01g00987.t3,-0.029,-7.326,0.001
Tca01g00988.t1,-0.019,-5.449,0.005
Tca01g00989.t1,-0.026,-10.037,0.002
Tca01g00989.t2,-0.027,-10.111,0.002
Tca01g01042.t1,-0.042,-1.019,0.006
Tca01g01054.t1,-0.041,-5.097,0.003
Tca01g01066.t1,-0.047,-1.232,0.007
Tca01g01083.t1,-0.049,-2.794,0.005
Tca01g01103.t1,-0.027,-4.631,0.005
Tca01g01116.t1,-0.038,-1.751,0.006
Tca01g01129.t1,-0.009,-77.421,0.004
Tca01g01098.t1,-0.176,-2.963,0.012
Tca01g01098.t2,-0.15,-7.794,0.01
Tca01g01099.t1,-0.023,-3.089,0.004
Tca01g01100.t1,-0.038,-1.86,0.003
Tca01g01101.t1,-0.029,-5.606,0.002
Tca01g01102.t1,-0.042,-1.739,0.007
Tca01g00126.t1,-0.039,-2.51,0.003
Tca01g00127.t1,-0.032,-12.189,0.005
Tca01g00128.t1,-0.028,-2.018,0.002
Tca01g00129.t1,-0.037,-0.804,0.002
Tca01g00130.t1,-0.033,-4.123,0.002
Tca01g00131.t1,-0.026,-7.284,0.003
Tca01g00132.t1,-0.029,-5.011,0.003
Tca01g00133.t1,-0.032,-9.583,0.002
Tca01g00134.t1,-0.037,-6.856,0.002
Tca01g00135.t1,-0.035,-9.34,0.002
Tca01g00136.t1,-0.035,-5.935,0.002
Tca01g00137.t1,-0.044,-0.785,0.004
Tca01g00139.t1,-0.027,-1.82,0.002
Tca01g00140.t1,-0.051,-12.28,0.004
Tca01g00140.t2,-0.057,-11.728,0.005
Tca01g00141.t1,-0.054,-4.542,0.004
Tca01g00142.t1,-0.022,-5.579,0.002
Tca01g00143.t1,-0.028,-7.556,0.002
Tca01g00513.t1,-0.079,-0.739,0.007
Tca01g00514.t1,-0.036,-0.899,0.005
Tca01g00515.t1,-0.034,-3.607,0.006
Tca01g00515.t2,-0.05,-4.63,0.007
Tca01g00516.t1,-0.025,-2.026,0.002
Tca01g00517.t1,-0.017,-7.149,0.002
Tca01g00300.t1,-0.033,-2.006,0.002
Tca01g00314.t1,-0.068,-1.61,0.009
Tca01g00328.t1,-0.055,-3.313,0.01
Tca01g00342.t1,-0.024,-2.084,0.002
Tca01g00360.t1,-0.05,-2.06,0.004
Tca01g00373.t1,-0.045,-3.648,0.004
Tca01g00518.t1,-0.027,-7.203,0.003
Tca01g00519.t1,-0.023,-13.819,0.002
Tca01g00520.t1,-0.03,-6.095,0.006
Tca01g00521.t1,-0.044,-0.281,0.004
Tca01g00522.t1,-0.042,-2.786,0.003
Tca01g00523.t1,-0.081,-1.012,0.013
Tca01g02122.t1,-0.03,-7.665,0.004
Tca01g02123.t1,-0.033,-16.83,0.004
Tca01g02124.t1,-0.03,-6.205,0.003
Tca01g02125.t1,-0.04,-3.185,0.007
Tca01g02126.t1,-0.017,-10.38,0.003
Tca01g02127.t1,-0.012,-18.012,0.003
Tca01g02031.t1,-0.023,-8.116,0.002
Tca01g02032.t1,-0.031,-3.261,0.002
Tca01g02033.t1,-0.034,-0.706,0.005
Tca01g02034.t1,-0.033,-0.733,0.005
Tca01g02035.t1,-0.022,-4.141,0.002
Tca01g02035.t2,-0.026,-3.871,0.002
Tca01g02037.t1,-0.035,-6.121,0.002
Tca01g02038.t1,-0.045,-2.853,0.003
Tca01g02039.t1,-0.029,-2.287,0.004
Tca01g02040.t1,-0.02,-2.821,0.004
Tca01g02041.t1,-0.03,-7.3,0.002
Tca01g02042.t1,-0.033,-3.036,0.002
Tca01g02135.t1,-0.026,-3.301,0.003
Tca01g02136.t1,-0.027,-3.053,0.002
Tca01g02137.t1,-0.027,-3.128,0.002
Tca01g02138.t1,-0.034,-3.7,0.002
Tca01g02139.t1,-0.025,-2.819,0.002
Tca01g02140.t1,-0.025,-5.782,0.003
Tca01g02141.t1,-0.021,-4.054,0.002
Tca01g02142.t1,-0.024,-4.255,0.002
Tca01g02143.t1,-0.033,-6.113,0.002
Tca01g02144.t1,-0.064,-17.609,0.004
Tca01g02145.t1,-0.042,-4.395,0.003
Tca01g02145.t2,-0.046,-4.123,0.003
Tca01g02146.t1,-0.028,-14.772,0.003
Tca01g02148.t1,-0.029,-1.09,0.005
Tca01g02149.t1,-0.068,-1.689,0.004
Tca01g02150.t1,-0.026,-4.902,0.002
Tca01g02151.t1,-0.029,-7.62,0.002
Tca01g02152.t1,-0.044,-0.358,0.003
Tca01g02153.t1,-0.056,-8.607,0.005
Tca01g02154.t1,-0.036,-6.011,0.008
Tca01g02155.t1,-0.038,-2.211,0.003
Tca01g02156.t1,-0.025,-10.211,0.003
Tca01g02157.t1,-0.02,-8.201,0.003
Tca01g02158.t1,-0.026,-2.549,0.003
Tca01g02159.t1,-0.02,-8.489,0.003
Tca01g02210.t1,-0.015,-6.047,0.005
Tca01g02211.t1,-0.028,-0.511,0.004
Tca01g02212.t1,-0.058,-3.266,0.01
Tca01g02212.t2,-0.062,-3.422,0.01
Tca01g02213.t1,-0.027,-8.066,0.004
Tca01g02214.t1,-0.031,-3.178,0.001
Tca01g02215.t1,-0.025,-2.171,0.005
Tca01g01583.t1,-0.078,-4.557,0.013
Tca01g01584.t1,-0.032,-2.574,0.002
Tca01g01584.t2,-0.027,-2.57,0.002
Tca01g01585.t1,-0.033,-6.846,0.004
Tca01g01586.t1,-0.04,-4.923,0.004
Tca01g01587.t1,-0.059,-4.481,0.004
Tca01g01589.t1,-0.043,-1.062,0.005
Tca01g01590.t1,-0.044,-3.176,0.005
Tca01g01591.t1,-0.028,-5.604,0.003
Tca01g01592.t1,-0.055,-4.414,0.005
Tca01g01593.t1,-0.067,-2.731,0.006
Tca01g01594.t1,-0.035,-2.35,0.004
Tca01g01595.t1,-0.041,-2.312,0.005
Tca01g01940.t1,-0.031,-5.555,0.002
Tca01g01953.t1,-0.034,-1.578,0.002
Tca01g01973.t1,-0.059,-1.671,0.005
Tca01g01985.t2,-0.034,-6.629,0.004
Tca01g01997.t1,-0.036,-2.681,0.004
Tca01g02009.t1,-0.06,-1.909,0.007
Tca01g00105.t1,0.006,-26.953,0.004
Tca01g00637.t1,-0.034,-5.586,0.002
Tca01g00773.t1,-0.028,-1.968,0.005
Tca01g01030.t1,-0.054,-2.102,0.007
Tca01g01430.t1,-0.018,-238.774,0.009
Tca01g01513.t1,-0.06,-3.04,0.007
Tca01g01779.t1,-0.046,-1.347,0.008
Tca01g01780.t1,-0.053,-5.375,0.007
Tca01g01780.t2,-0.059,-7.423,0.007
Tca01g01781.t1,-0.057,-0.678,0.004
Tca01g01782.t1,-0.063,-3.079,0.007
Tca01g01783.t1,-0.038,-0.355,0.003
Tca01g01784.t1,-0.028,-5.745,0.002
Tca01g01785.t1,-0.023,-5.363,0.004
Tca01g01786.t1,-0.027,-3.033,0.004
Tca01g01787.t1,-0.037,-3.048,0.002
Tca01g01788.t1,-0.033,-5.147,0.007
Tca01g01789.t1,-0.046,-17.76,0.01
Tca01g01790.t1,-0.052,-1.068,0.007
Tca01g01791.t1,-0.021,-6.967,0.002
Tca01g01792.t1,-0.03,-5.562,0.002
Tca01g01793.t1,-0.085,-0.222,0.012
Tca01g01794.t1,-0.057,-2.991,0.004
Tca01g01795.t1,-0.115,-3.516,0.016
Tca01g01832.t1,-0.031,-13.055,0.002
Tca01g01833.t1,-0.018,-8.407,0.003
Tca01g01834.t1,-0.018,-13.066,0.002
Tca01g01835.t1,-0.026,-8.595,0.002
Tca01g01836.t1,-0.062,-3.316,0.005
Tca01g01837.t1,-0.039,-2.299,0.003
Tca01g01839.t1,-0.073,-3.044,0.009
Tca01g01840.t1,-0.051,-26.437,0.006
Tca01g01841.t1,-0.029,-0.279,0.005
Tca01g01842.t1,-0.082,-0.102,0.009
Tca01g01843.t1,-0.035,-3.094,0.005
Tca01g01844.t1,-0.049,-2.583,0.005
